polarity	name	chemical formula	neutral mass	rt (min)	protocol	file	group	area	height	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep1 Isolate_9.mzML	M9C_I09	377006.04	9048.1	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep2 Isolate_9.mzML	M9C_I09	320100.097	7464.837	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep3 Isolate_9.mzML	M9C_I09	202216.421	5570.849	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep1 Isolate_10.mzML	M9C_I10	2536.268	437.92	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep2 Isolate_10.mzML	M9C_I10	1649.769	323.989	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep3 Isolate_10.mzML	M9C_I10	1193.367	292.058	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep1 Isolate_11.mzML	M9C_I11	18223.359	1008.33	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep2 Isolate_11.mzML	M9C_I11	17251.112	1032.04	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep3 Isolate_11.mzML	M9C_I11	5786.9	620.07	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep1 Isolate_12.mzML	M9C_I12	1662.764	190.563	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep2 Isolate_12.mzML	M9C_I12	1566.203	226.43	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep3 Isolate_12.mzML	M9C_I12	947.656	132.718	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep1 Isolate_13.mzML	M9C_I13	32735.645	1325.816	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep2 Isolate_13.mzML	M9C_I13	15837.422	869.504	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep3 Isolate_13.mzML	M9C_I13	13022.818	641.88	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep1 Isolate_14.mzML	M9C_I14	2994.767	313.869	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep2 Isolate_14.mzML	M9C_I14	980.864	192.092	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep3 Isolate_14.mzML	M9C_I14	2240.868	384.486	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep1 Isolate_15.mzML	M9C_I15	619662.046	15164.901	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep2 Isolate_15.mzML	M9C_I15	70786.282	3283.587	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep3 Isolate_15.mzML	M9C_I15	302278.077	7256.796	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep1 Isolate_16.mzML	M9C_I16	848558.678	20220.492	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep2 Isolate_16.mzML	M9C_I16	642795.896	15589.463	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep3 Isolate_16.mzML	M9C_I16	522824.01	13117.23	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg Ext Blank_2.mzML	R2A_bla	2729.724	289.314	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg Ext Blank_3.mzML	R2A_bla	4763.843	426.382	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg Ext Blank_1B.mzML	R2A_bla	2328.551	414.728	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep1 Control.mzML	R2A_ctr	74050.816	2036.578	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep2 Control.mzML	R2A_ctr	44506.709	1438.287	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep3 Control.mzML	R2A_ctr	158796.992	4235.553	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep1 Isolate_1.mzML	R2A_I01	5787.374	519.023	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep2 Isolate_1.mzML	R2A_I01	3988.372	463.001	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep3 Isolate_1.mzML	R2A_I01	5760.545	405.531	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep1 Isolate_2.mzML	R2A_I02	73228.469	1817.21	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep2 Isolate_2.mzML	R2A_I02	71397.033	1914.61	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep3 Isolate_2.mzML	R2A_I02	70089.957	1730.152	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep1 Isolate_3.mzML	R2A_I03	2831.537	281.402	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep2 Isolate_3.mzML	R2A_I03	3701.502	286.054	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep3 Isolate_3.mzML	R2A_I03	1522.653	322.459	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep1 Isolate_4.mzML	R2A_I04	94110.039	3331.319	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep2 Isolate_4.mzML	R2A_I04	54000.198	2094.805	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep3 Isolate_4.mzML	R2A_I04	77614.34	2960.183	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep1 Isolate_5.mzML	R2A_I05	42558.996	1773.602	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep2 Isolate_5.mzML	R2A_I05	6142.684	700.255	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep3 Isolate_5.mzML	R2A_I05	3766.565	375.099	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep1 Isolate_6.mzML	R2A_I06	3404.233	364.613	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep2 Isolate_6.mzML	R2A_I06	3537.764	465.539	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep3 Isolate_6.mzML	R2A_I06	1965.441	180.008	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep1 Isolate_7.mzML	R2A_I07	36775.699	1655.441	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep2 Isolate_7.mzML	R2A_I07	16584.039	1172.69	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep3 Isolate_7.mzML	R2A_I07	22168.579	1021.195	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep1 Isolate_8.mzML	R2A_I08	1894651.381	43339.138	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep2 Isolate_8.mzML	R2A_I08	1447158.851	32974.42	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep3 Isolate_8.mzML	R2A_I08	1575243.014	34921.216	
