	rt (min)		(+)	(-)	neutral mass	formula	name		area	polarity	group	group
6	6.26	0.21		313.239				MEBM_C_3	0	neg	MEBM_C	MEBM_Ctr
6	6.26	0.21		313.239				MEBM_C_4	0	neg	MEBM_C	MEBM_Ctr
6	6.26	0.21		313.239				MEBM_S_1	18744	neg	MEBM_S	MEBM_Syn
6	6.26	0.21		313.239				MEBM_S_2	27481	neg	MEBM_S	MEBM_Syn
6	6.26	0.21		313.239				MEBM_S_3	19333	neg	MEBM_S	MEBM_Syn
6	6.26	0.21		313.239				MEBM_S_4	13057	neg	MEBM_S	MEBM_Syn
6	6.26	0.21		313.239				YE_C_1	103	neg	YE_C	YE_Ctr
6	6.26	0.21		313.239				YE_C_2	269	neg	YE_C	YE_Ctr
6	6.26	0.21		313.239				YE_C_3	384	neg	YE_C	YE_Ctr
6	6.26	0.21		313.239				YE_C_4	218	neg	YE_C	YE_Ctr
6	6.26	0.21		313.239				YE_S_1	17466	neg	YE_S	YE_Syn
6	6.26	0.21		313.239				YE_S_2	24484	neg	YE_S	YE_Syn
6	6.26	0.21		313.239				YE_S_3	15405	neg	YE_S	YE_Syn
6	6.26	0.21		313.239				YE_S_4	46403	neg	YE_S	YE_Syn
6	6.26	0.21		313.239				SE_C_1	963	neg	SE_C	SE_Ctr
6	6.26	0.21		313.239				SE_C_2	1889	neg	SE_C	SE_Ctr
6	6.26	0.21		313.239				SE_C_3	4485	neg	SE_C	SE_Ctr
6	6.26	0.21		313.239				SE_C_4	4306	neg	SE_C	SE_Ctr
6	6.26	0.21		313.239				SE_S_1	109704	neg	SE_S	SE_Syn
6	6.26	0.21		313.239				SE_S_2	81522	neg	SE_S	SE_Syn
6	6.26	0.21		313.239				SE_S_3	127704	neg	SE_S	SE_Syn
6	6.26	0.21		313.239				SE_S_4	78839	neg	SE_S	SE_Syn
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		Min_C_1		both	Min_C	Min_Ctr
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		Min_C_2		both	Min_C	Min_Ctr
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		Min_C_3		both	Min_C	Min_Ctr
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		Min_C_4		both	Min_C	Min_Ctr
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		Min_S_1		both	Min_S	Min_Syn
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		Min_S_2		both	Min_S	Min_Syn
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		Min_S_3		both	Min_S	Min_Syn
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		Min_S_4		both	Min_S	Min_Syn
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		MEBM_C_1	24385	both	MEBM_C	MEBM_Ctr
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		MEBM_C_2	27022	both	MEBM_C	MEBM_Ctr
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		MEBM_C_3	21532	both	MEBM_C	MEBM_Ctr
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		MEBM_C_4	30746	both	MEBM_C	MEBM_Ctr
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		MEBM_S_1	30997	both	MEBM_S	MEBM_Syn
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		MEBM_S_2	27379	both	MEBM_S	MEBM_Syn
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		MEBM_S_3	26905	both	MEBM_S	MEBM_Syn
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		MEBM_S_4	25041	both	MEBM_S	MEBM_Syn
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		YE_C_1	344592	both	YE_C	YE_Ctr
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		YE_C_2	263119	both	YE_C	YE_Ctr
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		YE_C_3	291795	both	YE_C	YE_Ctr
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		YE_C_4	277596	both	YE_C	YE_Ctr
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		YE_S_1	374741	both	YE_S	YE_Syn
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		YE_S_2	386469	both	YE_S	YE_Syn
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		YE_S_3	359142	both	YE_S	YE_Syn
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		YE_S_4	458853	both	YE_S	YE_Syn
